dataset,optimiser,seed,train_rmse,test_rmse
izmir,sgd,2,3.1505980491638184,3.1487348079681396
izmir,sgd,3,3.543137788772583,3.4362282752990723
izmir,sgd,4,3.0197935104370117,2.8112101554870605
izmir,sgd,5,3.0328660011291504,2.889439105987549
izmir,sgd,6,3.4389870166778564,3.3135483264923096
izmir,sgd,7,3.442446231842041,3.383873701095581
izmir,sgd,8,3.302550792694092,3.3015236854553223
izmir,sgd,9,3.423668622970581,3.190462350845337
izmir,rmsprop,0,5.000669956207275,5.019779682159424
izmir,rmsprop,1,4.3520073890686035,4.186397552490234
izmir,rmsprop,2,4.425441741943359,4.524600505828857
izmir,rmsprop,3,4.917236328125,4.900973796844482
izmir,rmsprop,4,4.299503326416016,4.16889762878418
izmir,rmsprop,5,4.314006805419922,4.153989315032959
izmir,rmsprop,6,4.568750858306885,4.521989822387695
izmir,rmsprop,7,4.653140544891357,4.620339393615723
izmir,rmsprop,8,4.5179667472839355,4.578141212463379
izmir,rmsprop,9,4.663934230804443,4.654138565063477
izmir,pso,0,2.9003121852874756,2.944597005844116
izmir,pso,1,2.313422918319702,2.3309836387634277
izmir,pso,2,2.6149778366088867,2.746110677719116
izmir,pso,3,2.6974992752075195,2.455451726913452
izmir,pso,4,2.39189076423645,2.322826862335205
izmir,pso,5,2.995403289794922,3.1003258228302
izmir,pso,6,2.844250202178955,2.7471108436584473
izmir,pso,7,2.3586249351501465,2.3194258213043213
izmir,pso,8,2.539738893508911,2.4666025638580322
izmir,pso,9,2.909898042678833,2.9407472610473633
izmir,ga,0,4.319006443023682,4.229328632354736
izmir,ga,1,3.9216198921203613,3.757622003555298
izmir,ga,2,4.130392074584961,4.087740421295166
izmir,ga,3,4.3211236000061035,4.301278114318848
izmir,ga,4,3.463580846786499,3.3084664344787598
izmir,ga,5,3.551462411880493,3.526116371154785
izmir,ga,6,3.842148780822754,3.8585941791534424
izmir,ga,7,3.7969908714294434,3.643864870071411
izmir,ga,8,3.7271931171417236,3.832998752593994
izmir,ga,9,3.6870763301849365,3.602691411972046
izmir,de,0,4.252903461456299,4.188370704650879
izmir,de,1,3.4515140056610107,3.4553093910217285
izmir,de,2,3.5276639461517334,3.4541468620300293
izmir,de,3,4.0491156578063965,3.7973244190216064
izmir,de,4,2.898064374923706,2.853271245956421
izmir,de,5,3.3834609985351562,3.172391891479492
izmir,de,6,3.1036226749420166,3.0374093055725098
izmir,de,7,3.3610780239105225,3.347996473312378
izmir,de,8,3.55631160736084,3.5115933418273926
izmir,de,9,3.672740936279297,3.4731557369232178
izmir,cmaes,0,4.616883754730225,4.517883777618408
izmir,cmaes,1,4.571008205413818,4.443039417266846
izmir,cmaes,2,4.3007330894470215,4.358068466186523
izmir,cmaes,3,5.146977424621582,4.972942352294922
izmir,cmaes,4,3.915578842163086,3.775726318359375
izmir,cmaes,5,4.639449596405029,4.24823522567749
izmir,cmaes,6,4.551783084869385,4.361011981964111
izmir,cmaes,7,4.302929878234863,4.162031650543213
izmir,cmaes,8,4.747170925140381,4.749650478363037
izmir,cmaes,9,3.96993350982666,3.8901846408843994
baseball,adam,0,799.6122436523438,773.843994140625
baseball,adam,1,777.7188110351562,762.1845092773438
baseball,adam,2,758.8489990234375,750.2864379882812
baseball,adam,3,795.2095336914062,775.5308837890625
baseball,adam,4,848.6268310546875,813.5564575195312
baseball,adam,5,784.1939086914062,726.5069580078125
baseball,adam,6,790.4122924804688,754.17578125
baseball,adam,7,806.0051879882812,776.2899780273438
baseball,adam,8,779.4461059570312,760.2387084960938
baseball,adam,9,777.43115234375,763.339111328125
baseball,sgd,0,859.5556640625,817.8206787109375
baseball,sgd,1,847.7130737304688,786.6144409179688
baseball,sgd,2,843.9007568359375,777.1348266601562
